experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
89;6.1;0.061;0.0027;12.05;0.12050000000000001;9.1;0.091;;;2;0.002;0.0029850746268656717;0;0;0;0;0.438488529261582;0.438;14.378297385983705;14.38
90;6.1;0.061;0.0027;15.75;0.1575;12.65;0.1265;;;3;0.003;0.004477611940298507;0;0;0;0;0.44015863786577697;0.44;10.972694534268598;10.97
91;6.1;0.061;0.0027;14.1;0.141;10.2;0.102;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5196385919027136;0.52;10.972694534268598;10.97
92;6.1;0.061;0.0027;13.05;0.1305;9.75;0.0975;;;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5835986770637417;0.584;10.972694534268598;10.97
93;6.1;0.061;0.0027;10.5;0.105;8.8;0.08800000000000001;;;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.808623051487227;0.809;10.972694534268598;10.97
94;6.1;0.061;0.00265;22.7;0.22699999999999998;16.65;0.16649999999999998;;;5;0.005;0.007462686567164179;0;0;0;0;0.4279558576733624;0.428;7.757256631581301;7.76
95;6.1;0.061;0.00245;21.4;0.214;16.2;0.162;;;5;0.005;0.007462686567164179;0;0;0;0;0.4862470681465275;0.486;7.556979245830929;7.56
96;6.1;0.061;0.0024;19.85;0.1985;13.55;0.1355;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5499387351243128;0.55;7.505217489532062;7.51
97;6.1;0.061;0.00225;18.95;0.1895;12.85;0.1285;;;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.6089135205922136;0.609;7.34548327242592;7.35
98;6.1;0.061;0.00195;16.85;0.1685;13.45;0.13449999999999998;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7800878871974961;0.78;7.003327003504591;7
99;6.1;0.061;0.0015;15.75;0.1575;9.5;0.095;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9842246351515903;0.984;6.416870690838547;6.42
100;6.1;0.061;0.019;7.05;0.0705;6.7;0.067;;;1;0.001;0.0014925373134328358;0;0;0;0;0.18468440205233244;0.185;43.737847356588375;43.74
101;6.1;0.061;0.0195;6.35;0.0635;6.1;0.061;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.21326166717721054;0.213;44.11819555506309;44.12
102;6.1;0.061;0.0195;5.35;0.0535;5.1;0.051;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.27576726690296155;0.276;44.11819555506309;44.12
103;6.1;0.061;0.019;4.3;0.043;4.2;0.042;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.38771375582929385;0.388;43.737847356588375;43.74
104;6.1;0.061;0.0195;9.6;0.096;7.9;0.079;;;3;0.003;0.004477611940298507;0;0;0;0;0.34418171406111037;0.344;21.20981619400933;21.21
105;6.1;0.061;0.019;9.2;0.092;7.85;0.0785;;;3;0.003;0.004477611940298507;0;0;0;0;0.37166649051825873;0.372;21.026963852070217;21.03
106;6.1;0.061;0.0195;8.15;0.0815;6.55;0.0655;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.4400056260403039;0.44;21.20981619400933;21.21
107;6.1;0.061;0.019;7.05;0.0705;5.55;0.0555;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.5540532061569973;0.554;21.026963852070217;21.03
108;6.1;0.061;0.0195;12.4;0.124;10.15;0.1015;;;5;0.005;0.007462686567164179;0;0;0;0;0.39076068704644795;0.391;15.088210641987333;15.09
109;6.1;0.061;0.0185;10.9;0.109;8.35;0.08349999999999999;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.48678264574702146;0.487;14.825753583439171;14.83
110;6.1;0.061;0.019;9.35;0.0935;7.35;0.0735;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.6045976867058671;0.605;14.958133387836618;14.96
111;6.1;0.061;0.0195;7.45;0.0745;6.15;0.061500000000000006;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.8390908458613967;0.839;15.088210641987333;15.09
112;6.1;0.061;0.0195;5.55;0.0555;5.1;0.051;;;1;0.001;0.0014925373134328358;0;0;0;0;0.26099603714614705;0.261;44.11819555506309;44.12
113;6.1;0.061;0.0195;4.8;0.048;4.35;0.0435;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.32449763196402726;0.324;44.11819555506309;44.12
114;6.1;0.061;0.0195;3.6;0.036000000000000004;3.05;0.0305;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.4995967871088726;0.5;44.11819555506309;44.12
115;6.1;0.061;0.0195;2.9;0.028999999999999998;2.5;0.025;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.6909973646972329;0.691;44.11819555506309;44.12
116;6.1;0.061;0.019;8.35;0.08349999999999999;6.7;0.067;;;3;0.003;0.004477611940298507;0;0;0;0;0.4298386213556917;0.43;21.026963852070217;21.03
117;6.1;0.061;0.019;8.4;0.084;6.75;0.0675;;;3;0.003;0.004477611940298507;0;0;0;0;0.42600649327921714;0.426;21.026963852070217;21.03
118;6.1;0.061;0.019;7.2;0.07200000000000001;5.35;0.0535;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5368295369851238;0.537;21.026963852070217;21.03
119;6.1;0.061;0.019;6.2;0.062;4.4;0.044000000000000004;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6718117781759706;0.672;21.026963852070217;21.03
120;6.1;0.061;0.019;11.4;0.114;9.35;0.0935;;;5;0.005;0.007462686567164179;0;0;0;0;0.4490830054516056;0.449;14.958133387836618;14.96
121;6.1;0.061;0.0195;9.9;0.099;7.1;0.071;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5477603601015525;0.548;15.088210641987333;15.09
122;6.1;0.061;0.019;8.35;0.08349999999999999;6.1;0.061;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7163977022594862;0.716;14.958133387836618;14.96
123;6.1;0.061;0.019;7.1;0.071;5.25;0.0525;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9136847459580013;0.914;14.958133387836618;14.96
124;6.1;0.061;0.0195;14.1;0.141;11.45;0.11449999999999999;;;7;0.007;0.010447761194029851;0;0;0;0;0.45117264380274164;0.451;12.056438857847201;12.06
125;6.1;0.061;0.0195;15.45;0.1545;12.75;0.1275;;;7.7;0.0077;0.011492537313432836;0;0;0;0;0.43268454947185664;0.433;11.314201905610126;11.31
126;6.1;0.061;0.019;6.65;0.0665;6.35;0.0635;;;1;0.001;0.0014925373134328358;0;0;0;0;0.201595774609004;0.202;43.737847356588375;43.74
127;6.1;0.061;0.019;6.05;0.0605;5.8;0.057999999999999996;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.2323169145780852;0.232;43.737847356588375;43.74
128;6.1;0.061;0.0195;4.85;0.048499999999999995;3.4;0.034;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.3194925826556259;0.319;44.11819555506309;44.12
129;6.1;0.061;0.019;3.95;0.0395;3.75;0.0375;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.44037053183150515;0.44;43.737847356588375;43.74
130;6.1;0.061;0.019;8.55;0.0855;7.15;0.07150000000000001;;;3;0.003;0.004477611940298507;0;0;0;0;0.4148451105375531;0.415;21.026963852070217;21.03
131;6.1;0.061;0.0195;8.8;0.08800000000000001;7.35;0.0735;;;3;0.003;0.004477611940298507;0;0;0;0;0.3921666284066553;0.392;21.20981619400933;21.21
132;6.1;0.061;0.019;7.45;0.0745;5.7;0.057;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5100358915239989;0.51;21.026963852070217;21.03
133;6.1;0.061;0.0185;6.45;0.0645;4.6;0.046;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6416327340760957;0.642;20.84087476664511;20.84
134;6.1;0.061;0.0195;11.6;0.11599999999999999;9.6;0.096;;;5;0.005;0.007462686567164179;0;0;0;0;0.43187335293577056;0.432;15.088210641987333;15.09
135;6.1;0.061;0.0195;10;0.1;7.25;0.0725;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5395645300775824;0.54;15.088210641987333;15.09
136;6.1;0.061;0.0195;8.5;0.085;6.35;0.0635;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.6885175325437531;0.689;15.088210641987333;15.09
137;6.1;0.061;0.019;7.1;0.071;5.25;0.0525;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9136847459580013;0.914;14.958133387836618;14.96
138;6.1;0.061;0.0195;14.3;0.14300000000000002;11.65;0.1165;;;7;0.007;0.010447761194029851;0;0;0;0;0.4417406559614353;0.442;12.056438857847201;12.06
139;6.1;0.061;0.019;8.6;0.086;7.1;0.071;;;3;0.003;0.004477611940298507;0;0;0;0;0.4112325388592984;0.411;21.026963852070217;21.03
140;6.1;0.061;0.019;8.7;0.087;8.45;0.08449999999999999;;;1;0.001;0.0014925373134328358;0;0;0;0;0.13472091201891015;0.135;43.737847356588375;43.74
141;6.1;0.061;0.019;8.75;0.0875;8.15;0.0815;;;1.5;0.0015;0.0022388059701492534;0;0;0;0;0.2003517188441229;0.2;33.378224538473546;33.38
142;6.1;0.061;0.0195;8.8;0.08800000000000001;8;0.08;;;2;0.002;0.0029850746268656717;0;0;0;0;0.2614444189377702;0.261;27.79272163160121;27.79
143;6.1;0.061;0.0195;8.9;0.08900000000000001;7.95;0.0795;;;2.5;0.0025;0.0037313432835820895;0;0;0;0;0.32131306629711526;0.321;23.95104144540847;23.95
144;6.1;0.061;0.0195;9.15;0.0915;7.65;0.0765;;;3;0.003;0.004477611940298507;0;0;0;0;0.3698818333237779;0.37;21.20981619400933;21.21
145;6.1;0.061;0.0195;9.35;0.0935;7.7;0.077;;;3.5;0.0035;0.0052238805970149255;0;0;0;0;0.4177572695673703;0.418;19.138403725936925;19.14
146;6.1;0.061;0.0195;9.9;0.099;7.9;0.079;;;4;0.004;0.005970149253731343;0;0;0;0;0.438208288081242;0.438;17.508317508761476;17.51
147;6.1;0.061;0.0195;10.6;0.106;8.3;0.083;;;4.5;0.0045;0.00671641791044776;0;0;0;0;0.44496628292869533;0.445;16.186119119480516;16.19
148;6.1;0.061;0.0195;11.3;0.113;8.75;0.0875;;;5;0.005;0.007462686567164179;0;0;0;0;0.4491854984810362;0.449;15.088210641987333;15.09
149;6.1;0.061;0.019;11.55;0.1155;11.7;0.11699999999999999;;;1;0.001;0.0014925373134328358;0;0;0;0;0.08807262015929274;0.088;43.737847356588375;43.74
150;6.1;0.061;0.0195;11.65;0.1165;11.7;0.11699999999999999;;;1.5;0.0015;0.0022388059701492534;0;0;0;0;0.12872881130184224;0.129;33.66848453842255;33.67
151;6.1;0.061;0.0195;11.6;0.11599999999999999;11.8;0.11800000000000001;;;2;0.002;0.0029850746268656717;0;0;0;0;0.17274934117430824;0.173;27.79272163160121;27.79
152;6.1;0.061;0.0195;11.6;0.11599999999999999;11.65;0.1165;;;2.5;0.0025;0.0037313432835820895;0;0;0;0;0.21593667646788528;0.216;23.95104144540847;23.95
153;6.1;0.061;0.019;11.75;0.1175;11.4;0.114;;;3;0.003;0.004477611940298507;0;0;0;0;0.25750066084306494;0.258;21.026963852070217;21.03
154;6.1;0.061;0.019;12;0.12;9.6;0.096;;;3.5;0.0035;0.0052238805970149255;0;0;0;0;0.29107845990938735;0.291;18.97340927665677;18.97
155;6.1;0.061;0.019;12.15;0.1215;10.15;0.1015;;;4;0.004;0.005970149253731343;0;0;0;0;0.3265197592096695;0.327;17.357376226168235;17.36
156;6.1;0.061;0.019;12.55;0.1255;10.45;0.1045;;;4.5;0.0045;0.00671641791044776;0;0;0;0;0.3499135965854371;0.35;16.046576666079226;16.05
157;6.1;0.061;0.019;12.9;0.129;10.75;0.1075;;;5;0.005;0.007462686567164179;0;0;0;0;0.3730777354942727;0.373;14.958133387836618;14.96
158;6.1;0.061;0.019;14.05;0.1405;11.35;0.11349999999999999;;;7;0.007;0.010447761194029851;0;0;0;0;0.4595126236899263;0.46;11.952498867965263;11.95
159;6.1;0.061;0.00235;10.1;0.10099999999999999;9.5;0.095;7.15;0.07150000000000001;1;0.001;0.0014925373134328358;0;0;0;0;0.30624901588983927;0.306;21.791919788298717;21.79
160;6.1;0.061;0.0025;14.55;0.14550000000000002;13.1;0.131;9.05;0.09050000000000001;2;0.002;0.0029850746268656717;0;0;0;0;0.34344420667189784;0.343;14.014132200638679;14.01
161;6.1;0.061;0.00225;13.15;0.1315;12;0.12;8.1;0.081;2;0.002;0.0029850746268656717;0.4;0.0004;0.0005970149253731343;0.2;0.4213478682185454;0.421;13.530495874176577;13.53
162;6.1;0.061;0.0024;11.85;0.1185;11;0.11;6.9;0.069;2;0.002;0.0029850746268656717;0.6;0.0006;0.0008955223880597014;0.3;0.47691122325287005;0.477;13.82472881779142;13.82
163;6.1;0.061;0.00215;9.8;0.098;8.7;0.087;5.5;0.055;2;0.002;0.0029850746268656717;1;0.001;0.0014925373134328358;0.5;0.6699807825798848;0.67;13.326998856508217;13.33
164;6.1;0.061;0.0021;17.9;0.179;16.5;0.165;11.25;0.1125;3;0.003;0.004477611940298507;0;0;0;0;0.41192936699312654;0.412;10.09094407687954;10.09
165;6.1;0.061;0.00215;18.25;0.1825;16;0.16;11.1;0.111;3;0.003;0.004477611940298507;0;0;0;0;0.395456223985849;0.395;10.170403601024622;10.17
166;6.1;0.061;0.0021;15.5;0.155;13.45;0.13449999999999998;8.8;0.08800000000000001;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.5112163717662521;0.511;10.09094407687954;10.09
167;6.1;0.061;0.002;12.6;0.126;11.3;0.113;6.65;0.0665;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.7147285539129712;0.715;9.928158448444442;9.93
168;6.1;0.061;0.002;22.05;0.2205;19.95;0.19949999999999998;12.8;0.128;4;0.004;0.005970149253731343;0;0;0;0;0.41164495424664876;0.412;8.19551422806552;8.2
169;6.1;0.061;0.002;26.5;0.265;23.45;0.2345;15.8;0.158;5;0.005;0.007462686567164179;0;0;0;0;0.3905502221805414;0.391;7.062680062237693;7.06
170;6.1;0.061;0.0018;22.8;0.228;21.15;0.2115;13.6;0.136;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.5158485034066775;0.516;6.8189426269563205;6.82
171;6.1;0.061;0.00175;19.9;0.19899999999999998;19.9;0.19899999999999998;10.9;0.109;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.6415966076131986;0.642;6.755210462499662;6.76
172;6.1;0.061;0.019;6.7;0.067;6.65;0.0665;6.15;0.061500000000000006;1;0.001;0.0014925373134328358;0;0;0;0;0.19934332094510737;0.199;43.737847356588375;43.74
173;6.1;0.061;0.0195;9.6;0.096;8.85;0.0885;6.85;0.06849999999999999;3;0.003;0.004477611940298507;0;0;0;0;0.34418171406111037;0.344;21.20981619400933;21.21
174;6.1;0.061;0.0195;11.65;0.1165;10.85;0.1085;7.8;0.078;4;0.004;0.005970149253731343;0;0;0;0;0.343276830138246;0.343;17.508317508761476;17.51
175;6.1;0.061;0.02;8.85;0.0885;7.85;0.0785;5.1;0.051;4;0.004;0.005970149253731343;1.2;0.0012;0.0017910447761194028;0.3;0.5119420239190215;0.512;17.656700155594233;17.66
176;6.1;0.061;0.0195;6.9;0.069;6.4;0.064;3.75;0.0375;4;0.004;0.005970149253731343;2;0.002;0.0029850746268656717;0.5;0.7531123043270951;0.753;17.508317508761476;17.51
177;6.1;0.061;0.0205;12.9;0.129;11.55;0.1155;8.65;0.08650000000000001;5;0.005;0.007462686567164179;0;0;0;0;0.35916929480020404;0.359;15.341841385149383;15.34
178;6.1;0.061;0.02;16.35;0.1635;14.7;0.147;10.65;0.1065;7;0.007;0.010447761194029851;0;0;0;0;0.35677720614596337;0.357;12.15861694024772;12.16
179;6.1;0.061;0.0195;9.2;0.092;9.1;0.091;5.5;0.055;7;0.007;0.010447761194029851;3.5;0.0035;0.0052238805970149255;0.5;0.8560313835279958;0.856;12.056438857847201;12.06
